modelo,variant_features,C,threshold_type,threshold,split,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Dummy most_frequent,,,n/a,,train,0.7453,0.0,0.0,0.0,,,4697,0,1605,0
Dummy most_frequent,,,n/a,,validation,0.8621,0.0,0.0,0.0,,,850,0,136,0
Dummy most_frequent,,,n/a,,test,0.7122,0.0,0.0,0.0,,,1111,0,449,0
Dummy stratified,,,n/a,,train,0.6212,0.2532,0.2498,0.2515,,,3514,1183,1204,401
Dummy stratified,,,n/a,,validation,0.6876,0.1504,0.2721,0.1937,,,641,209,99,37
Dummy stratified,,,n/a,,test,0.5776,0.2388,0.2138,0.2256,,,805,306,353,96
VIX rule,vix_only,,calibrated_val,17.77,train,0.6939,0.4486,0.8816,0.5947,,,2958,1739,190,1415
VIX rule,vix_only,,calibrated_val,17.77,validation,0.7941,0.3128,0.4118,0.3556,,,727,123,80,56
VIX rule,vix_only,,calibrated_val,17.77,test,0.5949,0.4017,0.833,0.542,,,554,557,75,374
LogisticRegression,all_features,0.01,fixed_0.5,0.5,train,0.8151,0.6028,0.8037,0.6889,0.879,0.7555,3847,850,315,1290
LogisticRegression,all_features,0.01,fixed_0.5,0.5,validation,0.5507,0.2163,0.8603,0.3456,0.7508,0.3348,426,424,19,117
LogisticRegression,all_features,0.01,fixed_0.5,0.5,test,0.2878,0.2878,1.0,0.447,0.589,0.363,0,1111,0,449
LogisticRegression,all_features,0.01,optimized_val_f1,0.87,train,0.8235,0.8775,0.357,0.5075,0.879,0.7555,4617,80,1032,573
LogisticRegression,all_features,0.01,optimized_val_f1,0.87,validation,0.8245,0.3905,0.4853,0.4328,0.7508,0.3348,747,103,70,66
LogisticRegression,all_features,0.01,optimized_val_f1,0.87,test,0.2801,0.2823,0.9733,0.4377,0.589,0.363,0,1111,12,437
LogisticRegression,all_features,0.1,fixed_0.5,0.5,train,0.8197,0.6111,0.8037,0.6943,0.8822,0.754,3876,821,315,1290
LogisticRegression,all_features,0.1,fixed_0.5,0.5,validation,0.5345,0.2182,0.9191,0.3526,0.7726,0.3582,402,448,11,125
LogisticRegression,all_features,0.1,fixed_0.5,0.5,test,0.2878,0.2878,1.0,0.447,0.5351,0.305,0,1111,0,449
LogisticRegression,all_features,0.1,optimized_val_f1,0.91,train,0.8116,0.9098,0.2891,0.4388,0.8822,0.754,4651,46,1141,464
LogisticRegression,all_features,0.1,optimized_val_f1,0.91,validation,0.8418,0.4315,0.4632,0.4468,0.7726,0.3582,767,83,73,63
LogisticRegression,all_features,0.1,optimized_val_f1,0.91,test,0.2808,0.2828,0.9755,0.4384,0.5351,0.305,0,1111,11,438
LogisticRegression,all_features,1.0,fixed_0.5,0.5,train,0.8199,0.6122,0.7988,0.6932,0.8831,0.7539,3885,812,323,1282
LogisticRegression,all_features,1.0,fixed_0.5,0.5,validation,0.5436,0.2206,0.9118,0.3553,0.7674,0.3484,412,438,12,124
LogisticRegression,all_features,1.0,fixed_0.5,0.5,test,0.2878,0.2878,1.0,0.447,0.5655,0.34,0,1111,0,449
LogisticRegression,all_features,1.0,optimized_val_f1,0.92,train,0.8085,0.9095,0.2754,0.4228,0.8831,0.7539,4653,44,1163,442
LogisticRegression,all_features,1.0,optimized_val_f1,0.92,validation,0.8377,0.4155,0.4338,0.4245,0.7674,0.3484,767,83,77,59
LogisticRegression,all_features,1.0,optimized_val_f1,0.92,test,0.2801,0.2823,0.9733,0.4377,0.5655,0.34,0,1111,12,437
LogisticRegression,reduced_no_level_features,0.01,fixed_0.5,0.5,train,0.8031,0.5875,0.7614,0.6632,0.8629,0.7453,3839,858,383,1222
LogisticRegression,reduced_no_level_features,0.01,fixed_0.5,0.5,validation,0.7992,0.3198,0.4044,0.3571,0.6288,0.2489,733,117,81,55
LogisticRegression,reduced_no_level_features,0.01,fixed_0.5,0.5,test,0.6571,0.4461,0.7929,0.571,0.7708,0.6309,669,442,93,356
LogisticRegression,reduced_no_level_features,0.01,optimized_val_f1,0.44,train,0.7902,0.561,0.8112,0.6633,0.8629,0.7453,3678,1019,303,1302
LogisticRegression,reduced_no_level_features,0.01,optimized_val_f1,0.44,validation,0.7799,0.3081,0.4779,0.3746,0.6288,0.2489,704,146,71,65
LogisticRegression,reduced_no_level_features,0.01,optimized_val_f1,0.44,test,0.6064,0.4106,0.8441,0.5525,0.7708,0.6309,567,544,70,379
LogisticRegression,reduced_no_level_features,0.1,fixed_0.5,0.5,train,0.8063,0.5917,0.772,0.6699,0.8649,0.7459,3842,855,366,1239
LogisticRegression,reduced_no_level_features,0.1,fixed_0.5,0.5,validation,0.8043,0.3185,0.3676,0.3413,0.6289,0.2497,743,107,86,50
LogisticRegression,reduced_no_level_features,0.1,fixed_0.5,0.5,test,0.6494,0.4404,0.8062,0.5696,0.7731,0.6368,651,460,87,362
LogisticRegression,reduced_no_level_features,0.1,optimized_val_f1,0.43,train,0.788,0.5573,0.8156,0.6621,0.8649,0.7459,3657,1040,296,1309
LogisticRegression,reduced_no_level_features,0.1,optimized_val_f1,0.43,validation,0.7738,0.2977,0.4706,0.3647,0.6289,0.2497,699,151,72,64
LogisticRegression,reduced_no_level_features,0.1,optimized_val_f1,0.43,test,0.6026,0.4084,0.8486,0.5514,0.7731,0.6368,559,552,68,381
LogisticRegression,reduced_no_level_features,1.0,fixed_0.5,0.5,train,0.8074,0.5935,0.7732,0.6715,0.8652,0.7468,3847,850,364,1241
LogisticRegression,reduced_no_level_features,1.0,fixed_0.5,0.5,validation,0.8002,0.3082,0.3603,0.3322,0.6258,0.2479,740,110,87,49
LogisticRegression,reduced_no_level_features,1.0,fixed_0.5,0.5,test,0.6487,0.4393,0.7973,0.5665,0.7737,0.6385,654,457,91,358
LogisticRegression,reduced_no_level_features,1.0,optimized_val_f1,0.53,train,0.8116,0.6058,0.7458,0.6685,0.8652,0.7468,3918,779,408,1197
LogisticRegression,reduced_no_level_features,1.0,optimized_val_f1,0.53,validation,0.8144,0.3379,0.3603,0.3488,0.6258,0.2479,754,96,87,49
LogisticRegression,reduced_no_level_features,1.0,optimized_val_f1,0.53,test,0.6673,0.4548,0.784,0.5756,0.7737,0.6385,689,422,97,352
