drawdown_threshold_pct,vol_threshold_pct,split,roc_auc,pr_auc,is_baseline_target
4.0,18.0,validation,0.73447424253579,0.447342300826163,False
4.0,18.0,test,0.761900968395398,0.6981572956813642,False
4.0,20.0,validation,0.6938189346884999,0.3175414511550674,False
4.0,20.0,test,0.7173694451336563,0.5944614683768898,False
4.0,25.0,validation,0.6512284701114488,0.21832708522535021,False
4.0,25.0,test,0.6741950195569222,0.4971985661412035,False
5.0,18.0,validation,0.7396013552479815,0.4444756372158003,False
5.0,18.0,test,0.8014879942823869,0.7142718844950429,False
5.0,20.0,validation,0.6887889273356401,0.2901653244382596,True
5.0,20.0,test,0.7594574602226369,0.6032402562144313,True
5.0,25.0,validation,0.6065237020316028,0.14716483310745443,False
5.0,25.0,test,0.7083000227117875,0.4781328919492495,False
7.000000000000001,18.0,validation,0.7755703332071185,0.46379723162698844,False
7.000000000000001,18.0,test,0.8403451577991043,0.7331570624907277,False
7.000000000000001,20.0,validation,0.7318371194842319,0.30096160298667407,False
7.000000000000001,20.0,test,0.8071935826405106,0.6210089276533683,False
7.000000000000001,25.0,validation,0.631030117270789,0.10727116628710238,False
7.000000000000001,25.0,test,0.7623640557133077,0.4769878367222716,False
