feature,mean_abs_shap
sp500_ma_50,0.9556692
treasury_10y,0.70263654
sp500_ma_200,0.60944337
vix_ma_20,0.31892058
vix,0.31672072
sp500_dist_ma200,0.24506533
sp500_vol_60d_ann,0.23779543
sp500_rolling_max_252d,0.20040962
treasury_2y,0.17401773
sp500_dist_ma50,0.16619334
sp500_vol_20d,0.113874815
sp500_close,0.11379867
sp500_return_20d,0.08775849
treasury_3m,0.08411888
spread_10y_2y,0.07186129
spread_10y_3m_change_20d,0.07139528
vix_zscore_252,0.06488355
spread_10y_2y_change_20d,0.06160651
treasury_2y_change_20d,0.04770837
sp500_drawdown_252d,0.038725387
spread_10y_3m,0.036490936
sp500_vol_20d_ann,0.02336778
treasury_10y_change_20d,0.021692973
vix_change_1d,0.017953461
vix_change_5d,0.014143544
sp500_return_5d,0.010875691
sp500_return_1d,0.008154403
curve_inverted_10y_2y,0.0
